Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,30.590000,30.740000,30.590000,30.590000,26.615696,19700
2017-08-15,30.610001,30.620001,30.510000,30.570000,26.598291,45700
2017-08-16,30.650000,30.709999,30.514999,30.514999,26.550436,52300
2017-08-17,30.480000,30.559999,30.420000,30.420000,26.467785,15900
2017-08-18,30.480000,30.480000,30.219999,30.250000,26.319868,47800
2017-08-21,30.270000,30.280001,30.200001,30.260000,26.328569,21800
2017-08-22,30.320000,30.350000,30.280001,30.340000,26.398176,33900
2017-08-23,30.299999,30.540001,30.280001,30.500000,26.537388,28000
2017-08-24,30.549999,30.559999,30.450001,30.510000,26.546087,27800
2017-08-25,30.510000,30.540001,30.480000,30.480000,26.519983,90600
2017-08-28,30.510000,30.530001,30.340000,30.440001,26.485186,27900
2017-08-29,30.360001,30.530001,30.240000,30.520000,26.554787,28200
2017-08-30,30.580000,30.700001,30.500000,30.639999,26.659199,42500
2017-08-31,30.750000,30.820000,30.690001,30.820000,26.815811,24800
2017-09-01,30.830000,30.830000,30.680000,30.780001,26.781006,41400
2017-09-05,30.740000,30.740000,30.410000,30.530001,26.563490,71500
2017-09-06,30.590000,30.700001,30.490000,30.500000,26.537388,38800
2017-09-07,30.510000,30.530001,30.430000,30.440001,26.485186,41200
2017-09-08,30.430000,30.430000,30.290001,30.340000,26.398176,41800
2017-09-11,30.490000,30.530001,30.440001,30.469999,26.511282,26100
2017-09-12,30.510000,30.690001,30.480000,30.690001,26.702705,26200
2017-09-13,30.670000,30.709999,30.650000,30.670000,26.685305,36000
2017-09-14,30.660000,30.780001,30.660000,30.780001,26.781006,18100
2017-09-15,30.790001,30.790001,30.700001,30.780001,26.781006,33900
2017-09-18,30.870001,30.920000,30.770000,30.920000,26.902821,62100
2017-09-19,30.990000,31.059999,30.959999,31.020000,26.989830,32000
2017-09-20,30.920000,31.030001,30.910000,31.020000,27.155283,64300
2017-09-21,30.980000,31.219999,30.980000,31.180000,27.295349,43500
2017-09-22,31.180000,31.200001,31.090000,31.170000,27.286596,34300
2017-09-25,31.200001,31.330000,31.170000,31.330000,27.426659,45800
2017-09-26,31.299999,31.299999,31.219999,31.230000,27.339123,30400
2017-09-27,31.299999,31.510000,31.299999,31.510000,27.584232,25400
2017-09-28,31.530001,31.610001,31.510000,31.590000,27.654268,27500
2017-09-29,31.620001,31.709999,31.600000,31.639999,27.698034,32800
2017-10-02,31.610001,31.750000,31.600000,31.750000,27.794334,62600
2017-10-03,31.790001,31.830000,31.790001,31.809999,27.846857,23900
2017-10-04,31.830000,31.860001,31.780001,31.809999,27.846857,40100
2017-10-05,31.860001,31.950001,31.860001,31.940001,27.960659,26400
2017-10-06,31.850000,31.850000,31.740000,31.830000,27.864363,48300
2017-10-10,31.969999,31.980000,31.879999,31.920000,27.943150,47900
2017-10-11,31.959999,32.000000,31.959999,31.980000,27.995676,27000
2017-10-12,31.980000,31.980000,31.870001,31.870001,27.899384,29800
2017-10-13,31.959999,32.040001,31.959999,31.990000,28.004429,24500
2017-10-16,32.090000,32.119999,31.980000,31.990000,28.004429,61800
2017-10-17,32.000000,32.029999,32.000000,32.020000,28.030697,69700
2017-10-18,32.080002,32.080002,31.969999,31.969999,27.986925,35200
2017-10-19,31.900000,32.020000,31.900000,32.009998,28.021938,52500
2017-10-20,32.169998,32.169998,32.090000,32.099998,28.100725,33000
2017-10-23,32.130001,32.180000,32.070000,32.080002,28.083220,45300
2017-10-24,32.160000,32.209999,32.160000,32.180000,28.170757,25900
2017-10-25,32.150002,32.180000,32.040001,32.090000,28.091974,38700
2017-10-26,32.160000,32.209999,32.139999,32.180000,28.170757,22700
2017-10-27,32.180000,32.320000,32.150002,32.299999,28.275805,45500
2017-10-30,32.340000,32.480000,32.320000,32.419998,28.380859,69000
2017-10-31,32.500000,32.580002,32.459999,32.500000,28.450891,47000
2017-11-01,32.669998,32.669998,32.500000,32.500000,28.450891,42100
2017-11-02,32.529999,32.529999,32.439999,32.480000,28.433384,35800
2017-11-03,32.459999,32.490002,32.389999,32.459999,28.415876,35700
2017-11-06,32.580002,32.650002,32.540001,32.630001,28.564692,55700
2017-11-07,32.669998,32.700001,32.610001,32.680000,28.608467,37400
2017-11-08,32.660000,32.680000,32.599998,32.650002,28.582203,32300
2017-11-09,32.570000,32.660000,32.529999,32.619999,28.555944,42000
2017-11-10,32.599998,32.610001,32.459999,32.509998,28.459644,52600
2017-11-13,32.490002,32.560001,32.450001,32.490002,28.442139,58000
2017-11-14,32.349998,32.369999,32.250000,32.250000,28.232037,52000
2017-11-15,32.160000,32.270000,32.099998,32.200001,28.188269,26100
2017-11-16,32.240002,32.340000,32.240002,32.299999,28.275805,28700
2017-11-17,32.400002,32.439999,32.380001,32.419998,28.380859,31300
2017-11-20,32.439999,32.500000,32.400002,32.450001,28.407122,56100
2017-11-21,32.549999,32.660000,32.500000,32.610001,28.547190,34900
2017-11-22,32.689999,32.700001,32.570000,32.599998,28.538435,35200
2017-11-23,32.630001,32.639999,32.580002,32.599998,28.538435,28300
2017-11-24,32.650002,32.680000,32.639999,32.650002,28.582203,34900
2017-11-27,32.689999,32.689999,32.490002,32.509998,28.459644,66700
2017-11-28,32.549999,32.580002,32.459999,32.494999,28.446514,70300
2017-11-29,32.570000,32.570000,32.320000,32.369999,28.337086,55800
2017-11-30,32.500000,32.669998,32.490002,32.639999,28.573450,36900
2017-12-01,32.639999,32.689999,32.470001,32.560001,28.503414,45400
2017-12-04,32.900002,32.900002,32.419998,32.419998,28.380859,48000
2017-12-05,32.380001,32.419998,32.279999,32.310001,28.284565,46600
2017-12-06,32.250000,32.439999,32.180000,32.310001,28.284565,32700
2017-12-07,32.340000,32.509998,32.330002,32.509998,28.459644,23900
2017-12-08,32.630001,32.709999,32.619999,32.680000,28.608467,32500
2017-12-11,32.770000,32.770000,32.650002,32.689999,28.617222,36800
2017-12-12,32.730000,32.770000,32.700001,32.730000,28.652237,43100
2017-12-13,32.750000,32.849998,32.740002,32.740002,28.660992,37600
2017-12-14,32.790001,32.790001,32.509998,32.509998,28.459644,67300
2017-12-15,32.580002,32.700001,32.560001,32.575001,28.516546,60800
2017-12-18,32.790001,32.900002,32.700001,32.759998,28.678499,115300
2017-12-19,32.810001,32.889999,32.759998,32.759998,28.678499,50800
2017-12-20,32.910000,32.910000,32.720001,32.840000,28.748533,60200
2017-12-21,32.869999,32.910000,32.750000,32.880001,28.783552,57600
2017-12-22,32.919998,32.919998,32.820000,32.840000,28.748533,53400
2017-12-27,32.919998,32.930000,32.860001,32.889999,28.792303,112200
2017-12-28,32.910000,32.910000,32.599998,32.759998,28.856606,50400
2017-12-29,32.810001,32.810001,32.680000,32.770000,28.865410,53000
2018-01-02,32.840000,32.919998,32.720001,32.910000,28.988728,74600
2018-01-03,33.070000,33.150002,33.000000,33.119999,29.173706,79100
2018-01-04,33.259998,33.259998,33.070000,33.220001,29.261799,76600
2018-01-05,33.209999,33.209999,33.029999,33.090000,29.147280,78100
2018-01-08,33.130001,33.130001,32.959999,33.009998,29.076815,92200
2018-01-09,33.160000,33.160000,32.990002,33.020000,29.085621,82400
2018-01-10,33.070000,33.070000,32.849998,32.860001,28.944687,78300
2018-01-11,32.950001,33.000000,32.889999,32.980000,29.050392,52000
2018-01-12,33.060001,33.070000,32.970001,33.029999,29.094427,89400
2018-01-15,33.150002,33.180000,33.060001,33.150002,29.200144,77700
2018-01-16,33.230000,33.230000,32.939999,33.000000,29.068010,105700
2018-01-17,33.070000,33.130001,32.970001,33.060001,29.120857,61600
2018-01-18,33.200001,33.200001,32.959999,32.970001,29.041586,80200
2018-01-19,33.049999,33.139999,33.000000,33.119999,29.173706,84300
2018-01-22,33.180000,33.180000,33.020000,33.099998,29.156090,88900
2018-01-23,33.150002,33.180000,32.950001,33.150002,29.200144,82400
2018-01-24,33.250000,33.250000,32.930000,32.990002,29.059196,112600
2018-01-25,33.070000,33.070000,32.820000,32.830002,28.918261,114400
2018-01-26,32.849998,32.900002,32.790001,32.880001,28.962307,69300
2018-01-29,32.830002,32.830002,32.599998,32.610001,28.724480,90400
2018-01-30,32.490002,32.540001,32.310001,32.330002,28.477839,66700
2018-01-31,32.360001,32.380001,32.220001,32.360001,28.504265,68400
2018-02-01,32.310001,32.310001,32.060001,32.150002,28.319286,54600
2018-02-02,32.020000,32.020000,31.620001,31.629999,27.861244,85100
2018-02-05,31.270000,31.570000,30.959999,31.080000,27.376780,152200
2018-02-06,30.600000,31.170000,30.299999,31.120001,27.412010,186800
2018-02-07,31.209999,31.209999,31.030001,31.030001,27.332737,100000
2018-02-08,31.110001,31.110001,30.490000,30.490000,26.857075,93200
2018-02-09,30.510000,30.580000,29.920000,30.400000,26.777800,151200
2018-02-12,30.690001,30.940001,30.600000,30.840000,27.165373,83700
2018-02-13,30.740000,30.830000,30.650000,30.790001,27.121330,57200
2018-02-14,30.690001,31.170000,30.629999,31.080000,27.376780,60000
2018-02-15,31.309999,31.320000,30.950001,31.190001,27.473677,88300
2018-02-16,31.240000,31.389999,31.190001,31.299999,27.570562,64500
2018-02-20,31.379999,31.379999,31.180000,31.250000,27.526524,127200
2018-02-21,31.299999,31.639999,31.299999,31.469999,27.720308,76100
2018-02-22,31.590000,31.690001,31.400000,31.450001,27.702690,58900
2018-02-23,31.580000,31.730000,31.490000,31.730000,27.949326,38800
